		清单数据仅供参考，最终的话费总额请以账单为准
序号	通话地	通话类型	对方号码	开始时间	通话时长	移动话费	长途话费
53	揭阳	被叫	18927056610	2013-10-05 20:53:41	0:0:58	0.00	0.00
54	揭阳	被叫	18927056610	2013-10-05 21:06:40	0:0:19	0.00	0.00
55	揭阳	被叫	18125197005	2013-10-05 21:58:08	0:1:27	0.00	0.00
56	揭阳	被叫	15815144422	2013-10-05 22:09:29	0:0:44	0.00	0.00
57	揭阳	被叫	666262	2013-10-06 01:37:47	0:0:23	0.00	0.00
58	揭阳	被叫	06638721610	2013-10-06 09:46:26	0:0:27	0.00	0.00
59	揭阳	被叫	665423	2013-10-06 10:14:39	0:2:13	0.00	0.00
60	揭阳	主叫	665423	2013-10-06 10:54:01	0:0:36	0.00	0.00
61	揭阳	主叫	8125369	2013-10-06 17:11:21	0:0:36	0.16	0.00
62	揭阳	主叫	666262	2013-10-06 20:21:39	0:0:25	0.00	0.00
63	揭阳	主叫	13822968358	2013-10-06 20:23:12	0:0:20	0.16	0.00
64	揭阳	被叫	665423	2013-10-06 22:21:07	0:0:27	0.00	0.00
65	揭阳	被叫	665423	2013-10-06 22:47:16	0:0:46	0.00	0.00
66	揭阳	主叫	665990	2013-10-07 11:04:57	0:16:8	0.00	0.00
67	揭阳	被叫	665990	2013-10-07 15:01:46	0:0:5	0.00	0.00
68	揭阳	被叫	18125197005	2013-10-07 19:51:51	0:2:50	0.00	0.00
69	揭阳	被叫	18125197005	2013-10-07 20:03:37	0:10:21	0.00	0.00
70	揭阳	主叫	15815144422	2013-10-08 09:18:36	0:0:52	0.00	0.49
71	揭阳	被叫	18125197005	2013-10-08 10:14:07	0:0:5	0.00	0.00
72	揭阳	被叫	18125197005	2013-10-08 10:14:52	0:1:21	0.00	0.00
73	揭阳	被叫	665423	2013-10-08 16:48:23	0:0:56	0.00	0.00
74	揭阳	被叫	18927056610	2013-10-08 20:48:22	0:0:27	0.00	0.00
75	揭阳	被叫	18927056610	2013-10-08 21:12:31	0:1:55	0.00	0.00
76	揭阳	被叫	18927056610	2013-10-08 21:17:14	0:0:18	0.00	0.00
77	揭阳	被叫	18125197005	2013-10-08 21:51:37	0:1:33	0.00	0.00
78	揭阳	被叫	18125197005	2013-10-08 22:06:19	0:2:2	0.00	0.00
79	揭阳	被叫	665990	2013-10-09 13:18:18	0:1:3	0.00	0.00
80	揭阳	被叫	666262	2013-10-09 14:16:30	0:0:24	0.00	0.00
81	揭阳	主叫	13322764666	2013-10-09 14:56:45	0:0:17	0.16	0.00
82	揭阳	主叫	665990	2013-10-09 14:59:40	0:23:27	0.00	0.00
83	揭阳	被叫	665990	2013-10-09 17:45:55	0:0:6	0.00	0.00
84	揭阳	被叫	15815144422	2013-10-09 18:19:50	0:10:52	0.00	0.00
85	揭阳	中国移动ip	1795115815144422	2013-10-09 18:54:51	0:5:29	0.96	0.90
86	揭阳	被叫	665423	2013-10-09 19:59:11	0:5:27	0.00	0.00
87	揭阳	主叫	8721610	2013-10-10 12:29:46	0:0:14	0.16	0.00
88	揭阳	主叫	663310	2013-10-10 15:07:16	0:0:33	0.00	0.00
89	揭阳	被叫	665990	2013-10-10 15:32:00	0:7:13	0.00	0.00
90	揭阳	被叫	15815144422	2013-10-10 16:25:49	0:1:20	0.00	0.00
91	揭阳	被叫	665423	2013-10-10 19:12:17	0:1:7	0.00	0.00
92	揭阳	被叫	665423	2013-10-10 20:01:40	0:0:12	0.00	0.00
93	揭阳	被叫	18927056610	2013-10-10 20:39:16	0:0:15	0.00	0.00
94	揭阳	被叫	18927056610	2013-10-10 20:54:21	0:0:43	0.00	0.00
95	揭阳	被叫	18927056610	2013-10-10 21:00:49	0:0:31	0.00	0.00
96	揭阳	被叫	18927056610	2013-10-10 21:02:18	0:0:34	0.00	0.00
97	揭阳	被叫	18927056610	2013-10-10 21:18:29	0:0:19	0.00	0.00
98	揭阳	被叫	18125197005	2013-10-10 22:23:10	0:1:38	0.00	0.00
99	揭阳	被叫	666262	2013-10-10 22:27:47	0:0:16	0.00	0.00
100	揭阳	被叫	18125197005	2013-10-10 22:50:58	0:4:33	0.00	0.00
101	揭阳	主叫	665990	2013-10-11 10:52:15	0:26:5	0.00	0.00
102	揭阳	主叫	8721610	2013-10-11 12:10:22	0:0:1	0.16	0.00
103	揭阳	被叫	665990	2013-10-11 17:02:16	0:0:26	0.00	0.00
104	揭阳	主叫	665423	2013-10-11 19:21:30	0:0:17	0.00	0.00
105	揭阳	被叫	18125197006	2013-10-11 19:29:00	0:3:9	0.00	0.00
106	揭阳	主叫	665990	2013-10-11 20:44:48	0:1:18	0.00	0.00
107	揭阳	被叫	665990	2013-10-11 21:48:14	0:0:9	0.00	0.00
108	揭阳	被叫	665990	2013-10-11 23:16:39	0:0:9	0.00	0.00
109	揭阳	被叫	663310	2013-10-12 07:58:59	0:0:20	0.00	0.00
110	揭阳	被叫	663310	2013-10-12 11:56:58	0:0:21	0.00	0.00
111	揭阳	主叫	15815144422	2013-10-12 11:57:50	0:0:34	0.00	0.49
112	揭阳	主叫	8721610	2013-10-12 12:17:11	0:0:7	0.16	0.00
113	揭阳	主叫	666262	2013-10-12 12:22:22	0:0:8	0.00	0.00
114	揭阳	被叫	15815144422	2013-10-12 16:47:10	0:0:18	0.00	0.00
115	揭阳	主叫	15815144422	2013-10-12 19:53:19	0:0:18	0.00	0.49
116	揭阳	被叫	666262	2013-10-12 21:06:40	0:0:7	0.00	0.00
117	揭阳	主叫	663310	2013-10-12 21:25:48	0:0:6	0.00	0.00
118	揭阳	被叫	15815144422	2013-10-13 10:46:13	0:0:7	0.00	0.00
119	揭阳	主叫	15815144422	2013-10-13 11:29:03	0:0:54	0.00	0.49
120	揭阳	被叫	665990	2013-10-13 12:31:01	0:0:31	0.00	0.00
121	揭阳	被叫	665990	2013-10-13 13:00:11	0:1:12	0.00	0.00
122	揭阳	被叫	18125197005	2013-10-13 19:29:19	0:1:1	0.00	0.00
123	揭阳	主叫	18125197005	2013-10-13 19:41:29	0:0:18	0.00	0.49
124	揭阳	被叫	13592901522	2013-10-13 20:08:46	0:0:42	0.00	0.00
125	揭阳	被叫	18125197005	2013-10-13 20:23:13	0:0:36	0.00	0.00
126	揭阳	被叫	18927056610	2013-10-13 20:26:52	0:3:22	0.00	0.00
127	揭阳	被叫	18927056610	2013-10-13 20:37:59	0:0:42	0.00	0.00
128	揭阳	被叫	18927056610	2013-10-13 21:02:53	0:0:40	0.00	0.00
129	揭阳	被叫	666262	2013-10-13 21:19:23	0:0:6	0.00	0.00
130	揭阳	被叫	18125197005	2013-10-13 22:10:35	0:1:25	0.00	0.00
131	揭阳	主叫	18125197005	2013-10-13 22:15:24	0:4:6	0.00	2.45
132	揭阳	主叫	18125197005	2013-10-13 22:21:17	0:0:57	0.00	0.49
133	揭阳	被叫	13592901522	2013-10-13 23:21:41	0:0:36	0.00	0.00
134	揭阳	被叫	18125197005	2013-10-14 00:05:47	0:0:29	0.00	0.00
135	揭阳	被叫	663310	2013-10-14 08:36:48	0:0:11	0.00	0.00
136	揭阳	被叫	666262	2013-10-14 10:39:19	0:1:36	0.00	0.00
137	揭阳	主叫	8721610	2013-10-14 12:17:22	0:0:7	0.16	0.00
138	揭阳	被叫	666262	2013-10-14 13:07:40	0:0:30	0.00	0.00
139	揭阳	主叫	666262	2013-10-14 14:44:58	0:0:1	0.00	0.00
140	揭阳	被叫	666262	2013-10-14 14:59:35	0:0:45	0.00	0.00
141	揭阳	主叫	663310	2013-10-14 18:58:14	0:0:29	0.00	0.00
142	揭阳	被叫	18125197005	2013-10-14 20:03:24	0:4:17	0.00	0.00
143	揭阳	被叫	665423	2013-10-14 20:53:16	0:3:18	0.00	0.00
144	揭阳	被叫	15815144422	2013-10-15 00:34:23	0:1:25	0.00	0.00
145	揭阳	主叫	15815144422	2013-10-15 10:12:52	0:0:15	0.00	0.49
146	揭阳	主叫	665990	2013-10-15 10:20:47	0:2:17	0.00	0.00
147	揭阳	主叫	8721610	2013-10-15 17:05:18	0:0:17	0.16	0.00
148	揭阳	主叫	18125197005	2013-10-15 19:24:13	0:0:25	0.00	0.49
149	揭阳	被叫	18927056610	2013-10-15 20:54:33	0:6:46	0.00	0.00
150	揭阳	被叫	18927056610	2013-10-15 21:04:40	0:0:32	0.00	0.00
151	揭阳	被叫	18125197005	2013-10-15 22:04:25	0:1:56	0.00	0.00
152	揭阳	被叫	13592901522	2013-10-15 22:12:26	0:0:29	0.00	0.00
153	揭阳	被叫	18125197005	2013-10-15 22:12:56	0:0:1	0.00	0.00
154	揭阳	主叫	18125197005	2013-10-15 22:13:18	0:3:8	0.00	1.96
155	揭阳	被叫	18125197005	2013-10-15 22:23:56	0:0:54	0.00	0.00
156	揭阳	被叫	13592901522	2013-10-15 22:31:47	0:0:11	0.00	0.00
157	揭阳	主叫	18125197005	2013-10-15 22:32:17	0:0:34	0.00	0.49
158	揭阳	主叫	666262	2013-10-15 22:34:29	0:0:11	0.00	0.00
159	揭阳	被叫	13592901522	2013-10-15 22:48:01	0:0:11	0.00	0.00
160	揭阳	主叫	663310	2013-10-16 07:00:54	0:0:9	0.00	0.00
161	揭阳	被叫	18125197005	2013-10-16 10:25:09	0:1:43	0.00	0.00
162	揭阳	主叫	665990	2013-10-16 10:58:07	0:1:33	0.00	0.00
163	揭阳	被叫	13687484000	2013-10-16 11:05:31	0:0:45	0.00	0.00
164	揭阳	被叫	13687484000	2013-10-16 13:23:57	0:0:38	0.00	0.00
165	揭阳	中国移动ip	1795115815144422	2013-10-16 13:29:32	0:0:56	0.16	0.09
166	揭阳	被叫	666262	2013-10-16 13:32:10	0:0:34	0.00	0.00
167	揭阳	主叫	15815144422	2013-10-16 16:42:03	0:0:22	0.00	0.49
168	揭阳	主叫	15815144422	2013-10-16 16:44:27	0:1:24	0.00	0.98
169	揭阳	被叫	15815144422	2013-10-16 20:49:20	0:3:50	0.00	0.00
170	揭阳	主叫	15815144422	2013-10-16 22:33:34	0:9:9	0.00	4.90
171	揭阳	中国移动ip	1795115815144422	2013-10-17 09:48:40	0:0:18	0.08	0.09
172	揭阳	主叫	18666332272	2013-10-17 10:35:30	0:0:28	0.08	0.00
173	揭阳	被叫	18666332272	2013-10-17 10:39:01	0:3:48	0.00	0.00
174	揭阳	被叫	665990	2013-10-17 10:55:06	0:15:4	0.00	0.00
175	揭阳	被叫	13687484000	2013-10-17 11:41:45	0:1:11	0.00	0.00
176	揭阳	主叫	665423	2013-10-17 13:11:58	0:0:50	0.00	0.00
177	揭阳	主叫	666262	2013-10-17 15:07:29	0:1:24	0.00	0.00
178	揭阳	主叫	15815144422	2013-10-17 15:12:28	0:0:32	0.00	0.49
179	揭阳	被叫	665990	2013-10-17 15:44:06	0:0:23	0.00	0.00
180	揭阳	被叫	666262	2013-10-17 16:36:12	0:2:23	0.00	0.00
181	揭阳	被叫	13592901522	2013-10-17 16:59:33	0:0:24	0.00	0.00
182	揭阳	主叫	13592901522	2013-10-17 17:03:05	0:0:6	0.16	0.00
183	揭阳	被叫	13592901522	2013-10-17 21:46:40	0:0:35	0.00	0.00
184	揭阳	被叫	18125197005	2013-10-17 21:58:38	0:1:34	0.00	0.00
185	揭阳	被叫	18125197005	2013-10-17 22:44:40	0:0:14	0.00	0.00
186	揭阳	被叫	18125197005	2013-10-17 22:45:35	0:5:7	0.00	0.00
187	揭阳	主叫	663310	2013-10-18 09:00:23	0:0:31	0.00	0.00
188	揭阳	主叫	13322764666	2013-10-18 10:01:09	0:0:1	0.08	0.00
189	揭阳	被叫	13322764666	2013-10-18 10:01:28	0:0:8	0.00	0.00
190	揭阳	被叫	665990	2013-10-18 12:48:06	0:0:34	0.00	0.00
191	揭阳	主叫	666262	2013-10-18 19:14:18	0:0:20	0.00	0.00
192	揭阳	中国移动ip	1795115815144422	2013-10-18 20:06:18	0:1:31	0.32	0.30
193	揭阳	被叫	18125197005	2013-10-18 20:31:42	0:0:29	0.00	0.00
194	揭阳	被叫	15815144422	2013-10-18 22:36:20	0:2:31	0.00	0.00
195	揭阳	被叫	18666332272	2013-10-19 11:53:18	0:8:46	0.00	0.00
196	揭阳	被叫	13687484000	2013-10-19 12:53:33	0:0:18	0.00	0.00
197	揭阳	主叫	666262	2013-10-19 13:23:21	0:0:18	0.00	0.00
198	揭阳	主叫	666262	2013-10-19 13:30:17	0:0:14	0.00	0.00
199	揭阳	被叫	18125197005	2013-10-19 19:42:56	0:0:11	0.00	0.00
200	揭阳	被叫	18927056610	2013-10-19 21:03:55	0:2:21	0.00	0.00
201	揭阳	被叫	13592901522	2013-10-19 21:18:18	0:0:33	0.00	0.00
202	揭阳	被叫	18927056610	2013-10-19 21:19:19	0:0:30	0.00	0.00
203	揭阳	被叫	18125197005	2013-10-19 21:58:33	0:1:28	0.00	0.00
204	揭阳	被叫	18125197005	2013-10-20 12:37:05	0:2:58	0.00	0.00
205	揭阳	主叫	665990	2013-10-20 13:12:29	0:0:57	0.00	0.00
206	揭阳	被叫	665990	2013-10-20 13:21:15	0:1:24	0.00	0.00
207	揭阳	中国移动ip	1795115815144422	2013-10-20 14:30:14	0:6:39	1.12	0.63
208	揭阳	被叫	15815144422	2013-10-20 20:09:06	0:0:25	0.00	0.00
209	揭阳	主叫	13927086666	2013-10-21 09:29:32	0:0:15	0.08	0.00
210	揭阳	被叫	666262	2013-10-21 13:53:37	0:0:25	0.00	0.00
211	揭阳	被叫	666262	2013-10-21 14:05:39	0:0:35	0.00	0.00
212	揭阳	主叫	8721610	2013-10-21 14:10:11	0:1:18	0.32	0.00
213	揭阳	主叫	666262	2013-10-21 14:38:03	0:1:6	0.00	0.00
214	揭阳	被叫	666262	2013-10-21 14:42:26	0:0:32	0.00	0.00
215	揭阳	被叫	666262	2013-10-21 15:02:11	0:0:53	0.00	0.00
216	揭阳	被叫	18125197005	2013-10-21 15:20:45	0:1:8	0.00	0.00
217	揭阳	主叫	666262	2013-10-21 16:07:41	0:0:52	0.00	0.00
218	揭阳	主叫	13802313613	2013-10-21 16:09:30	0:0:36	0.16	0.00
219	揭阳	被叫	13802313613	2013-10-21 16:37:59	0:0:10	0.00	0.00
220	揭阳	主叫	8125369	2013-10-21 17:16:24	0:0:9	0.16	0.00
221	揭阳	主叫	665423	2013-10-21 20:20:06	0:0:37	0.00	0.00
222	揭阳	主叫	18666332272	2013-10-21 21:14:25	0:3:9	0.64	0.00
223	揭阳	被叫	665423	2013-10-21 21:20:03	0:0:21	0.00	0.00
224	揭阳	被叫	663310	2013-10-22 07:28:30	0:0:18	0.00	0.00
225	揭阳	中国移动ip	1795115815144422	2013-10-22 15:28:27	0:0:17	0.16	0.09
226	揭阳	被叫	18927056610	2013-10-22 20:28:41	0:0:31	0.00	0.00
227	揭阳	被叫	18927056610	2013-10-22 20:39:41	0:1:19	0.00	0.00
228	揭阳	被叫	18927056610	2013-10-22 21:07:38	0:0:48	0.00	0.00
229	揭阳	被叫	18927056610	2013-10-22 21:23:12	0:0:16	0.00	0.00
230	揭阳	被叫	18927056610	2013-10-22 21:47:18	0:0:36	0.00	0.00
231	揭阳	被叫	13592901522	2013-10-22 22:20:14	0:0:36	0.00	0.00
232	揭阳	被叫	663310	2013-10-23 07:43:02	0:0:10	0.00	0.00
233	揭阳	被叫	665990	2013-10-23 10:05:05	0:11:38	0.00	0.00
234	揭阳	主叫	06638721610	2013-10-23 10:17:04	0:1:6	0.16	0.00
235	揭阳	主叫	15815144422	2013-10-23 10:20:03	0:0:33	0.00	0.49
236	揭阳	被叫	13687484000	2013-10-23 15:08:26	0:0:28	0.00	0.00
237	揭阳	被叫	13687484000	2013-10-23 15:09:29	0:0:6	0.00	0.00
238	揭阳	被叫	666262	2013-10-23 15:48:29	0:1:16	0.00	0.00
239	揭阳	被叫	15815144422	2013-10-23 15:56:08	0:0:22	0.00	0.00
240	揭阳	主叫	15815144422	2013-10-23 17:03:10	0:0:47	0.00	0.49
241	揭阳	主叫	15815144422	2013-10-23 17:18:27	0:0:55	0.00	0.49
242	揭阳	被叫	13687484000	2013-10-23 17:20:07	0:0:13	0.00	0.00
243	揭阳	主叫	13592901522	2013-10-23 17:24:03	0:0:33	0.16	0.00
244	揭阳	主叫	666262	2013-10-23 17:41:52	0:0:23	0.00	0.00
245	揭阳	主叫	13592901522	2013-10-23 17:51:46	0:0:10	0.16	0.00
246	揭阳	被叫	06638125369	2013-10-23 18:00:15	0:0:16	0.00	0.00
247	揭阳	被叫	665423	2013-10-23 19:59:37	0:2:48	0.00	0.00
248	揭阳	被叫	18125197005	2013-10-23 20:20:20	0:5:9	0.00	0.00
249	揭阳	被叫	13322764666	2013-10-24 10:24:39	0:0:12	0.00	0.00
250	揭阳	被叫	665990	2013-10-24 14:35:05	0:0:53	0.00	0.00
251	揭阳	主叫	15815144422	2013-10-24 16:18:40	0:0:35	0.00	0.49
252	揭阳	主叫	15815144422	2013-10-24 16:33:20	0:1:14	0.00	0.98
253	揭阳	被叫	665423	2013-10-24 16:53:21	0:0:16	0.00	0.00
254	揭阳	被叫	15815144422	2013-10-24 19:14:37	0:0:34	0.00	0.00
255	揭阳	被叫	18927056610	2013-10-24 20:52:49	0:2:54	0.00	0.00
256	揭阳	被叫	18927056610	2013-10-24 21:03:00	0:2:5	0.00	0.00
257	揭阳	被叫	18927056610	2013-10-24 21:12:13	0:0:25	0.00	0.00
258	揭阳	被叫	18927056610	2013-10-24 21:54:14	0:0:24	0.00	0.00
259	揭阳	被叫	18125197005	2013-10-24 21:59:31	0:1:1	0.00	0.00
260	揭阳	被叫	15815144422	2013-10-24 22:14:40	0:0:17	0.00	0.00
261	揭阳	被叫	665990	2013-10-25 10:39:45	0:14:28	0.00	0.00
262	揭阳	主叫	06638721610	2013-10-25 10:54:47	0:0:32	0.08	0.00
263	揭阳	被叫	18927056610	2013-10-25 14:33:51	0:0:18	0.00	0.00
264	揭阳	主叫	665423	2013-10-25 15:21:51	0:3:45	0.00	0.00
265	揭阳	中国移动ip	1795115815144422	2013-10-25 17:32:46	0:1:56	0.32	0.18
266	揭阳	被叫	665423	2013-10-25 18:03:19	0:0:15	0.00	0.00
267	揭阳	主叫	666262	2013-10-26 10:51:40	0:0:19	0.00	0.00
268	揭阳	被叫	665423	2013-10-26 11:03:22	0:0:29	0.00	0.00
269	揭阳	被叫	13592901522	2013-10-26 12:23:21	0:0:12	0.00	0.00
270	揭阳	被叫	666262	2013-10-26 13:29:36	0:0:24	0.00	0.00
271	揭阳	主叫	13539290996	2013-10-26 13:46:10	0:0:31	0.16	0.00
272	揭阳	被叫	666262	2013-10-26 14:12:11	0:0:25	0.00	0.00
273	揭阳	被叫	13592901522	2013-10-26 16:11:54	0:0:24	0.00	0.00
274	揭阳	被叫	18927056610	2013-10-26 20:59:07	0:5:29	0.00	0.00
275	揭阳	被叫	18927056610	2013-10-26 21:18:22	0:0:12	0.00	0.00
276	揭阳	被叫	18125197005	2013-10-26 21:19:05	0:0:42	0.00	0.00
277	揭阳	被叫	18125197005	2013-10-26 21:58:31	0:1:27	0.00	0.00
278	揭阳	被叫	13592901522	2013-10-26 22:08:26	0:0:11	0.00	0.00
279	揭阳	被叫	18125197005	2013-10-26 22:15:14	0:0:12	0.00	0.00
280	揭阳	中国移动ip	1795115815144422	2013-10-26 23:02:32	0:4:48	0.80	0.45
281	揭阳	中国移动ip	1795115815144422	2013-10-27 09:23:13	0:1:27	0.16	0.18
282	揭阳	主叫	665990	2013-10-27 12:06:59	0:1:11	0.00	0.00
283	揭阳	被叫	15815144422	2013-10-27 15:39:07	0:0:41	0.00	0.00
284	揭阳	被叫	665423	2013-10-27 16:21:43	0:0:12	0.00	0.00
285	揭阳	主叫	13687484000	2013-10-27 16:45:33	0:0:6	0.16	0.00
286	揭阳	神州行新GPRS流量10元套餐	443	2013-10-28 02:32:25	0:0:0	10.00	0.00
287	揭阳	神州行大众卡新资费套餐(揭阳)	2	2013-10-28 02:32:25	0:0:0	15.00	0.00
288	揭阳	被叫	666262	2013-10-28 10:33:50	0:0:55	0.00	0.00
289	揭阳	被叫	13322764666	2013-10-28 10:58:27	0:0:14	0.00	0.00
290	揭阳	被叫	666262	2013-10-28 11:08:17	0:0:24	0.00	0.00
291	揭阳	主叫	663310	2013-10-28 11:24:21	0:0:23	0.00	0.00
292	揭阳	主叫	666262	2013-10-28 11:28:00	0:0:18	0.00	0.00
293	揭阳	被叫	13729377518	2013-10-28 12:01:02	0:1:3	0.00	0.00
294	揭阳	主叫	666262	2013-10-28 13:10:32	0:1:5	0.00	0.00
295	揭阳	被叫	666262	2013-10-28 13:37:04	0:0:22	0.00	0.00
296	揭阳	主叫	13729377518	2013-10-28 14:12:54	0:0:18	0.16	0.00
297	揭阳	被叫	666262	2013-10-28 14:49:23	0:0:25	0.00	0.00
298	揭阳	被叫	666262	2013-10-28 14:57:35	0:0:6	0.00	0.00
299	揭阳	被叫	13729377518	2013-10-28 15:03:43	0:0:39	0.00	0.00
300	揭阳	主叫	13729377518	2013-10-28 21:02:58	0:1:17	0.32	0.00
301	揭阳	被叫	665990	2013-10-29 10:36:35	0:14:19	0.00	0.00
302	揭阳	主叫	666262	2013-10-29 13:40:25	0:0:21	0.00	0.00
303	揭阳	被叫	666262	2013-10-29 15:02:29	0:0:36	0.00	0.00
304	揭阳	被叫	02151168688	2013-10-29 16:57:29	0:0:14	0.00	0.00
305	揭阳	主叫	13729377518	2013-10-29 19:15:24	0:0:37	0.16	0.00
306	揭阳	被叫	18927056610	2013-10-29 19:17:14	0:0:14	0.00	0.00
307	揭阳	被叫	18927056610	2013-10-29 20:36:42	0:1:32	0.00	0.00
308	揭阳	被叫	18927056610	2013-10-29 20:59:18	0:1:16	0.00	0.00
309	揭阳	被叫	18927056610	2013-10-29 21:14:20	0:1:15	0.00	0.00
310	揭阳	被叫	18125197005	2013-10-29 22:03:36	0:1:23	0.00	0.00
311	揭阳	主叫	666262	2013-10-30 10:52:03	0:1:17	0.00	0.00
312	揭阳	主叫	13542236611	2013-10-30 13:11:09	0:0:40	0.16	0.00
313	揭阳	被叫	665423	2013-10-30 17:23:40	0:1:22	0.00	0.00
314	揭阳	被叫	666262	2013-10-30 19:39:34	0:0:36	0.00	0.00
315	揭阳	中国移动ip	1795115815144422	2013-10-30 20:13:35	0:2:42	0.48	0.45
316	揭阳	中国移动ip	1795115815144422	2013-10-30 20:17:02	0:3:40	0.64	0.60
317	揭阳	主叫	13729377518	2013-10-31 09:14:50	0:1:39	0.16	0.00
318	揭阳	被叫	666262	2013-10-31 19:01:47	0:0:54	0.00	0.00
319	揭阳	主叫	666262	2013-10-31 20:10:50	0:1:14	0.00	0.00
320	揭阳	被叫	13592901522	2013-10-31 20:50:17	0:0:35	0.00	0.00
321	揭阳	被叫	18927056610	2013-10-31 20:55:06	0:2:29	0.00	0.00
322	揭阳	被叫	18927056610	2013-10-31 21:02:58	0:1:17	0.00	0.00
323	揭阳	被叫	18927056610	2013-10-31 21:09:11	0:0:26	0.00	0.00
324	揭阳	被叫	18125197005	2013-10-31 22:12:15	0:0:50	0.00	0.00
325	揭阳	被叫	665423	2013-10-31 22:15:06	0:0:35	0.00	0.00
