		清单数据仅供参考，最终的话费总额请以账单为准
序号	通话地	通话类型	对方号码	开始时间	通话时长	移动话费	长途话费
55	揭阳	被叫	13592901522	2013-08-08 22:15:42	0:0:18	0.00	0.00
56	揭阳	被叫	13592901522	2013-08-08 22:27:57	0:1:14	0.00	0.00
57	揭阳	被叫	18125197005	2013-08-08 23:50:44	0:3:31	0.00	0.00
58	揭阳	被叫	665990	2013-08-09 10:15:25	0:28:19	0.00	0.00
59	揭阳	被叫	666262	2013-08-09 13:43:56	0:0:41	0.00	0.00
60	揭阳	被叫	666262	2013-08-09 17:10:17	0:0:24	0.00	0.00
61	揭阳	被叫	666262	2013-08-09 17:28:48	0:0:7	0.00	0.00
62	揭阳	被叫	06638125369	2013-08-09 17:41:13	0:0:16	0.00	0.00
63	揭阳	被叫	13687484000	2013-08-09 17:54:15	0:0:54	0.00	0.00
64	揭阳	被叫	665990	2013-08-09 18:17:34	0:5:10	0.00	0.00
65	揭阳	主叫	665990	2013-08-09 20:08:21	0:0:31	0.00	0.00
66	揭阳	中国移动ip	1795115815144422	2013-08-09 20:12:55	0:0:39	0.16	0.15
67	揭阳	被叫	665990	2013-08-09 20:55:30	0:0:14	0.00	0.00
68	揭阳	主叫	665990	2013-08-09 21:03:28	0:0:54	0.00	0.00
69	揭阳	主叫	666262	2013-08-09 21:04:57	0:0:28	0.00	0.00
70	揭阳	被叫	18125197005	2013-08-09 21:32:23	0:1:24	0.00	0.00
71	揭阳	被叫	665423	2013-08-09 22:29:11	0:2:41	0.00	0.00
72	揭阳	被叫	665990	2013-08-10 09:47:42	0:8:50	0.00	0.00
73	揭阳	主叫	13687484000	2013-08-10 11:18:33	0:0:47	0.08	0.00
74	揭阳	被叫	665990	2013-08-10 12:36:53	0:0:12	0.00	0.00
75	揭阳	被叫	665990	2013-08-10 16:12:14	0:0:49	0.00	0.00
76	揭阳	被叫	06638125369	2013-08-10 17:42:29	0:0:13	0.00	0.00
77	揭阳	被叫	665990	2013-08-10 21:44:24	0:2:28	0.00	0.00
78	揭阳	被叫	18125197005	2013-08-10 22:05:20	0:1:8	0.00	0.00
79	揭阳	被叫	665990	2013-08-11 12:40:56	0:0:13	0.00	0.00
80	揭阳	被叫	15876184806	2013-08-11 18:02:21	0:6:9	0.00	0.00
81	揭阳	主叫	13058450086	2013-08-11 20:36:15	0:4:24	0.80	0.00
82	揭阳	被叫	18125197005	2013-08-11 21:10:20	0:2:13	0.00	0.00
83	揭阳	主叫	15815144422	2013-08-11 22:40:57	0:2:15	0.00	1.47
84	揭阳	被叫	666262	2013-08-12 13:19:13	0:0:56	0.00	0.00
85	揭阳	被叫	666262	2013-08-12 13:52:16	0:0:10	0.00	0.00
86	揭阳	主叫	663310	2013-08-12 22:20:29	0:0:7	0.00	0.00
87	揭阳	被叫	666262	2013-08-13 09:48:24	0:1:9	0.00	0.00
88	揭阳	被叫	665423	2013-08-13 11:24:30	0:1:34	0.00	0.00
89	揭阳	被叫	665990	2013-08-13 20:02:20	0:1:49	0.00	0.00
90	揭阳	被叫	13322764666	2013-08-13 20:51:29	0:1:14	0.00	0.00
91	揭阳	主叫	13322764666	2013-08-13 20:58:25	0:2:57	0.48	0.00
92	揭阳	被叫	18125197005	2013-08-13 22:00:19	0:2:28	0.00	0.00
93	揭阳	主叫	13592901522	2013-08-14 08:53:07	0:0:16	0.08	0.00
94	揭阳	被叫	06638721610	2013-08-14 09:55:59	0:0:12	0.00	0.00
95	揭阳	被叫	665423	2013-08-14 20:47:36	0:8:29	0.00	0.00
96	揭阳	被叫	665423	2013-08-14 21:03:52	0:0:27	0.00	0.00
97	揭阳	被叫	665423	2013-08-14 21:05:35	0:1:24	0.00	0.00
98	揭阳	被叫	665990	2013-08-15 10:36:45	0:21:58	0.00	0.00
99	揭阳	主叫	15815144422	2013-08-15 13:25:40	0:2:22	0.00	1.47
100	揭阳	被叫	665990	2013-08-15 15:20:05	0:0:48	0.00	0.00
101	揭阳	主叫	15815144422	2013-08-15 15:30:48	0:2:2	0.00	1.47
102	揭阳	被叫	666262	2013-08-15 17:56:33	0:0:27	0.00	0.00
103	揭阳	被叫	665990	2013-08-15 21:43:49	0:3:47	0.00	0.00
104	揭阳	被叫	18125197005	2013-08-15 22:02:05	0:1:13	0.00	0.00
105	揭阳	被叫	18125197005	2013-08-15 23:10:54	0:5:15	0.00	0.00
106	揭阳	被叫	18666332272	2013-08-16 09:55:22	0:0:39	0.00	0.00
107	揭阳	主叫	18666332272	2013-08-16 09:57:09	0:2:6	0.24	0.00
108	揭阳	被叫	18666332272	2013-08-16 15:51:57	0:0:45	0.00	0.00
109	揭阳	主叫	665990	2013-08-16 17:17:37	0:6:40	0.00	0.00
110	揭阳	被叫	18927056610	2013-08-16 20:01:35	0:0:25	0.00	0.00
111	揭阳	被叫	665423	2013-08-17 16:30:50	0:6:0	0.00	0.00
112	揭阳	主叫	13592901522	2013-08-17 22:26:43	0:0:10	0.16	0.00
113	揭阳	被叫	06638721610	2013-08-18 10:25:38	0:0:28	0.00	0.00
114	揭阳	被叫	665990	2013-08-18 15:12:30	0:2:13	0.00	0.00
115	揭阳	被叫	13927086666	2013-08-19 09:01:49	0:0:32	0.00	0.00
116	揭阳	主叫	13927086666	2013-08-19 09:02:54	0:0:18	0.08	0.00
117	揭阳	中国移动ip	1795115815144422	2013-08-19 11:05:20	0:0:53	0.08	0.09
118	揭阳	被叫	15815144422	2013-08-19 11:19:43	0:1:2	0.00	0.00
119	揭阳	主叫	15815144422	2013-08-19 11:38:25	0:0:33	0.00	0.49
120	揭阳	主叫	18666332272	2013-08-19 15:29:58	0:2:6	0.48	0.00
121	揭阳	主叫	15815144422	2013-08-19 15:32:41	0:0:26	0.00	0.49
122	揭阳	被叫	666262	2013-08-19 16:34:28	0:0:33	0.00	0.00
123	揭阳	被叫	18666332272	2013-08-19 16:56:59	0:0:21	0.00	0.00
124	揭阳	被叫	18927056610	2013-08-19 19:38:32	0:0:22	0.00	0.00
125	揭阳	被叫	15815144422	2013-08-19 21:50:32	0:1:19	0.00	0.00
126	揭阳	被叫	665423	2013-08-20 10:38:56	0:0:24	0.00	0.00
127	揭阳	主叫	18666332272	2013-08-20 10:56:01	0:0:25	0.08	0.00
128	揭阳	被叫	15815144422	2013-08-20 11:55:54	0:0:47	0.00	0.00
129	揭阳	被叫	666262	2013-08-20 13:05:58	0:0:39	0.00	0.00
130	揭阳	被叫	18927056610	2013-08-20 19:44:01	0:0:19	0.00	0.00
131	揭阳	主叫	666262	2013-08-20 21:08:10	0:0:38	0.00	0.00
132	揭阳	被叫	665990	2013-08-20 21:40:01	0:1:57	0.00	0.00
133	揭阳	被叫	18125197005	2013-08-20 21:58:33	0:1:33	0.00	0.00
134	揭阳	被叫	18125197005	2013-08-20 22:06:58	0:1:14	0.00	0.00
135	揭阳	被叫	13546859977	2013-08-21 09:39:29	0:0:45	0.00	0.00
136	揭阳	主叫	18927056610	2013-08-21 09:42:40	0:0:6	0.08	0.00
137	揭阳	被叫	666262	2013-08-21 10:46:30	0:2:43	0.00	0.00
138	揭阳	主叫	665990	2013-08-21 13:05:43	0:0:52	0.00	0.00
139	揭阳	中国移动ip	1795115815144422	2013-08-21 13:07:57	0:1:14	0.32	0.18
140	揭阳	中国移动ip	1795115815144422	2013-08-21 13:09:32	0:2:22	0.48	0.27
141	揭阳	被叫	665423	2013-08-21 14:53:34	0:1:6	0.00	0.00
142	揭阳	被叫	15017831769	2013-08-22 09:43:09	0:0:9	0.00	0.00
143	揭阳	被叫	666262	2013-08-22 11:49:56	0:0:17	0.00	0.00
144	揭阳	被叫	18125197005	2013-08-22 12:22:09	0:2:8	0.00	0.00
145	揭阳	中国移动ip	1795115815144422	2013-08-22 12:55:58	0:0:38	0.16	0.09
146	揭阳	被叫	666262	2013-08-22 14:32:26	0:0:17	0.00	0.00
147	揭阳	被叫	18927056610	2013-08-22 19:46:51	0:1:16	0.00	0.00
148	揭阳	被叫	665423	2013-08-22 19:52:23	0:0:53	0.00	0.00
149	揭阳	被叫	666262	2013-08-22 21:18:53	0:0:9	0.00	0.00
150	揭阳	被叫	18125197005	2013-08-22 21:58:41	0:2:34	0.00	0.00
151	揭阳	被叫	666262	2013-08-22 22:01:48	0:1:10	0.00	0.00
152	揭阳	被叫	18125197005	2013-08-22 22:09:00	0:5:22	0.00	0.00
153	揭阳	中国移动ip	1795115815144422	2013-08-22 22:27:36	0:0:57	0.16	0.09
154	揭阳	中国移动ip	1795115815144422	2013-08-22 22:30:47	0:1:25	0.32	0.18
155	揭阳	主叫	8125369	2013-08-23 12:57:50	0:0:20	0.16	0.00
156	揭阳	被叫	666262	2013-08-23 13:02:28	0:0:12	0.00	0.00
157	揭阳	被叫	13592901522	2013-08-23 13:24:29	0:1:47	0.00	0.00
158	揭阳	主叫	13592901522	2013-08-23 13:26:48	0:0:12	0.16	0.00
159	揭阳	被叫	18927056610	2013-08-23 19:56:13	0:0:30	0.00	0.00
160	揭阳	被叫	665423	2013-08-23 21:22:42	0:1:52	0.00	0.00
161	揭阳	被叫	18125197005	2013-08-23 22:02:36	0:4:9	0.00	0.00
162	揭阳	主叫	665990	2013-08-24 10:14:30	0:4:2	0.00	0.00
163	揭阳	被叫	18927056610	2013-08-24 19:39:45	0:1:16	0.00	0.00
164	揭阳	主叫	15815144422	2013-08-24 20:14:28	0:0:14	0.00	0.49
165	揭阳	被叫	18125197005	2013-08-24 20:24:51	0:0:10	0.00	0.00
166	揭阳	被叫	18125197005	2013-08-24 21:58:23	0:1:22	0.00	0.00
167	揭阳	被叫	15815144422	2013-08-24 22:23:22	0:4:54	0.00	0.00
168	揭阳	被叫	18927056610	2013-08-25 14:59:21	0:0:21	0.00	0.00
169	揭阳	主叫	665990	2013-08-25 20:04:01	0:5:9	0.00	0.00
170	揭阳	被叫	15815144422	2013-08-25 21:56:19	0:0:49	0.00	0.00
171	揭阳	被叫	665990	2013-08-26 19:15:00	0:0:13	0.00	0.00
172	揭阳	主叫	666262	2013-08-26 19:36:03	0:0:5	0.00	0.00
173	揭阳	被叫	15815144422	2013-08-26 20:22:22	0:1:34	0.00	0.00
174	揭阳	被叫	665990	2013-08-26 22:17:16	0:0:5	0.00	0.00
175	揭阳	被叫	665990	2013-08-27 00:10:08	0:0:12	0.00	0.00
176	揭阳	被叫	13542220910	2013-08-27 10:48:24	0:0:26	0.00	0.00
177	揭阳	被叫	13058450086	2013-08-27 12:11:35	0:3:18	0.00	0.00
178	揭阳	被叫	13592901522	2013-08-27 20:49:52	0:0:23	0.00	0.00
179	揭阳	被叫	665990	2013-08-27 21:39:54	0:1:20	0.00	0.00
180	揭阳	被叫	18125197005	2013-08-27 21:53:28	0:1:37	0.00	0.00
181	揭阳	被叫	18125197005	2013-08-27 22:54:01	0:6:32	0.00	0.00
182	揭阳	神州行大众卡新资费套餐(揭阳)	2	2013-08-28 03:28:58	0:0:0	15.00	0.00
183	揭阳	神州行新GPRS流量10元套餐	443	2013-08-28 03:28:58	0:0:0	10.00	0.00
184	揭阳	主叫	665990	2013-08-28 10:00:17	0:0:22	0.00	0.00
185	揭阳	被叫	665990	2013-08-28 10:10:47	0:0:12	0.00	0.00
186	揭阳	主叫	665990	2013-08-28 10:20:11	0:13:4	0.00	0.00
187	揭阳	被叫	665423	2013-08-28 11:37:32	0:0:43	0.00	0.00
188	揭阳	被叫	15815144422	2013-08-28 18:16:08	0:0:35	0.00	0.00
189	揭阳	主叫	665990	2013-08-29 10:52:53	0:0:29	0.00	0.00
190	揭阳	主叫	18666320589	2013-08-29 13:13:09	0:1:24	0.32	0.00
191	揭阳	被叫	06638125369	2013-08-29 17:22:08	0:0:12	0.00	0.00
192	揭阳	被叫	06638125369	2013-08-29 17:29:40	0:0:28	0.00	0.00
193	揭阳	被叫	665423	2013-08-29 21:47:42	0:0:33	0.00	0.00
194	揭阳	被叫	18125197005	2013-08-29 21:56:43	0:0:12	0.00	0.00
195	揭阳	被叫	18125197005	2013-08-29 21:57:58	0:1:13	0.00	0.00
196	揭阳	被叫	18125197005	2013-08-29 22:01:02	0:0:54	0.00	0.00
197	揭阳	被叫	18125197005	2013-08-29 22:07:28	0:0:24	0.00	0.00
198	揭阳	被叫	18125197005	2013-08-29 22:14:10	0:2:26	0.00	0.00
199	揭阳	被叫	18666332272	2013-08-30 15:52:28	0:4:7	0.00	0.00
200	揭阳	被叫	665423	2013-08-30 16:03:32	0:0:32	0.00	0.00
201	揭阳	主叫	665990	2013-08-30 16:06:05	0:11:30	0.00	0.00
202	揭阳	被叫	663310	2013-08-30 16:24:58	0:0:1	0.00	0.00
203	揭阳	主叫	663310	2013-08-30 16:25:40	0:0:43	0.00	0.00
204	揭阳	被叫	18125197005	2013-08-30 20:01:47	0:2:11	0.00	0.00
205	揭阳	被叫	666262	2013-08-30 20:43:08	0:0:21	0.00	0.00
206	揭阳	主叫	666262	2013-08-30 20:47:13	0:0:7	0.00	0.00
207	揭阳	主叫	13592901522	2013-08-31 00:01:53	0:2:57	0.24	0.00
208	揭阳	被叫	665423	2013-08-31 13:22:30	0:6:49	0.00	0.00
209	揭阳	被叫	665423	2013-08-31 16:50:56	0:5:53	0.00	0.00
210	揭阳	被叫	665423	2013-08-31 17:53:04	0:1:0	0.00	0.00
211	揭阳	被叫	15017831769	2013-08-31 21:48:37	0:1:0	0.00	0.00
212	揭阳	被叫	18125197005	2013-08-31 21:54:25	0:1:16	0.00	0.00
213	揭阳	被叫	18125197005	2013-08-31 21:56:45	0:0:38	0.00	0.00
214	揭阳	主叫	18125197005	2013-08-31 22:08:17	0:1:14	0.00	0.98
215	揭阳	被叫	18125197005	2013-08-31 23:00:06	0:1:15	0.00	0.00
216	费用合计					41.86	9.38
217	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-01 00:15:07	163	0.00	0.00
218	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-01 00:15:07	850	0.00	0.00
219	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-01 09:18:35	9	0.00	0.00
220	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-01 09:18:35	17	0.00	0.00
221	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-01 09:21:29	7	0.00	0.00
222	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-01 09:21:29	9	0.00	0.00
223	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-01 11:27:40	10	0.00	0.00
224	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-01 11:27:40	18	0.00	0.00
225	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-01 15:33:58	20	0.00	0.00
226	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-01 15:33:58	9	0.00	0.00
227	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-01 16:26:45	10	0.00	0.00
228	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-01 16:26:45	12	0.00	0.00
229	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-01 16:51:09	31	0.00	0.00
230	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-01 16:51:09	27	0.00	0.00
231	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-01 17:54:16	7	0.00	0.00
232	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-01 17:54:16	10	0.00	0.00
233	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-01 19:22:22	130	0.00	0.00
234	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-01 19:22:22	201	0.00	0.00
235	揭阳	普通短信发（短信呼叫）	15815144422	2013-08-01 21:12:25	0	0.15	0.00
236	揭阳	普通短信发（短信呼叫）	13695126262	2013-08-01 21:12:30	0	0.15	0.00
237	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-01 21:36:06	293	0.00	0.00
238	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-01 21:36:06	226	0.00	0.00
239	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-02 00:06:06	384	0.00	0.00
240	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-02 00:06:06	376	0.00	0.00
241	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-02 09:11:41	6	0.00	0.00
242	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-02 09:11:41	8	0.00	0.00
243	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-02 09:15:57	8	0.00	0.00
244	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-02 09:15:57	9	0.00	0.00
245	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-02 11:28:46	21	0.00	0.00
246	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-02 11:28:46	29	0.00	0.00
247	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-02 14:39:55	95	0.00	0.00
248	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-02 14:39:55	103	0.00	0.00
249	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-02 16:18:28	231	0.00	0.00
250	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-02 16:18:28	251	0.00	0.00
251	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-02 18:58:14	3	0.00	0.00
252	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-02 21:34:16	83	0.00	0.00
253	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-02 21:34:16	199	0.00	0.00
254	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-03 00:04:16	257	0.00	0.00
255	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-03 00:04:16	1038	0.00	0.00
256	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-03 09:38:33	8	0.00	0.00
257	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-03 09:38:33	14	0.00	0.00
258	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-03 11:48:38	14	0.00	0.00
259	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-03 11:48:38	22	0.00	0.00
260	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-03 13:23:21	508	0.00	0.00
261	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-03 13:23:21	534	0.00	0.00
262	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-03 19:45:57	101	0.00	0.00
263	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-03 19:45:57	168	0.00	0.00
264	揭阳	普通短信发（短信呼叫）	13592901522	2013-08-03 20:18:44	0	0.15	0.00
265	揭阳	普通短信发（短信呼叫）	15815144422	2013-08-03 20:19:15	0	0.15	0.00
266	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-03 21:10:27	1	0.00	0.00
267	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-03 21:16:27	10	0.00	0.00
268	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-03 21:16:27	11	0.00	0.00
269	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-03 21:18:26	1	0.00	0.00
270	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-03 21:33:41	74	0.00	0.00
271	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-03 21:33:41	103	0.00	0.00
272	揭阳	普通短信发（短信呼叫）	13592902345	2013-08-03 21:34:32	0	0.15	0.00
273	揭阳	普通短信发（短信呼叫）	13592902345	2013-08-03 21:36:03	0	0.15	0.00
274	揭阳	普通短信发（短信呼叫）	13592902345	2013-08-03 21:41:04	0	0.15	0.00
275	揭阳	普通短信发（短信呼叫）	13592902345	2013-08-03 21:56:54	0	0.15	0.00
276	揭阳	普通短信发（短信呼叫）	13592902345	2013-08-03 22:04:47	0	0.15	0.00
277	揭阳	普通短信发（短信呼叫）	13592902345	2013-08-03 22:10:12	0	0.15	0.00
278	揭阳	普通短信发（短信呼叫）	13592902345	2013-08-03 22:15:54	0	0.15	0.00
279	揭阳	普通短信发（短信呼叫）	13592902345	2013-08-03 22:19:51	0	0.15	0.00
280	揭阳	普通短信发（短信呼叫）	13592902345	2013-08-03 22:26:06	0	0.15	0.00
281	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-03 22:36:19	3	0.00	0.00
282	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-03 22:36:19	6	0.00	0.00
283	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-03 22:38:39	121	0.00	0.00
284	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-03 22:38:39	102	0.00	0.00
285	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-04 00:08:39	787	0.00	0.00
286	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-04 00:08:39	429	0.00	0.00
287	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-04 08:26:16	9	0.00	0.00
288	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-04 08:26:16	11	0.00	0.00
289	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-04 08:37:55	120	0.00	0.00
290	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-04 08:37:55	552	0.00	0.00
291	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-04 10:20:26	376	0.00	0.00
292	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-04 10:20:26	909	0.00	0.00
293	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-04 20:02:45	104	0.00	0.00
294	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-04 20:02:45	100	0.00	0.00
295	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-04 20:35:44	276	0.00	0.00
296	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-04 20:35:44	275	0.00	0.00
297	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-05 00:05:44	148	0.00	0.00
298	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-05 00:05:44	120	0.00	0.00
299	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-05 09:13:40	10	0.00	0.00
300	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-05 09:13:40	14	0.00	0.00
301	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-05 11:30:29	5	0.00	0.00
302	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-05 11:30:29	1	0.00	0.00
303	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-05 16:29:57	25	0.00	0.00
304	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-05 16:29:57	28	0.00	0.00
305	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-05 19:43:13	257	0.00	0.00
306	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-05 19:43:13	169	0.00	0.00
307	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-06 00:13:13	338	0.00	0.00
308	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-06 00:13:13	319	0.00	0.00
309	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-06 11:33:23	1	0.00	0.00
310	省内	移动上网(GPRS上行一般业务)	00000000001	2013-08-06 14:59:03	1	0.00	0.00
311	省内	移动上网(GPRS下行一般业务)	00000000001	2013-08-06 14:59:03	3	0.00	0.00
